CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Added,Deleted,Modified,Total Change,ALTER
4,0,2,0,11,0,1,18,2,0,2,0,0,0,0,NO
3,0,2,0,11,0,1,14,2,0,2,0,0,0,0,NO
0,0,16,7,16,0,16,74,1,83,16,0,0,2,2,YES
1,0,2,1,12,0,2,12,3,0,2,0,0,0,0,NO
2,2,3,1,3,0,2,24,1,0,4,1,0,0,1,YES
0,0,3,2,3,0,3,18,2,33,3,0,0,0,0,NO
1,0,4,0,12,0,1,21,2,0,4,0,0,0,0,NO
4,0,5,1,13,0,2,37,2,60,5,0,0,0,0,NO
1,0,4,0,12,0,1,26,2,0,5,0,0,1,1,YES
2,0,3,0,11,0,1,24,2,0,3,3,0,0,3,YES
1,0,3,0,11,0,1,16,2,0,3,2,0,1,3,YES
4,0,0,0,15,0,15,180,1,0,28,8,1,0,9,YES
1,0,4,0,12,0,1,22,2,0,4,1,0,1,2,YES
2,0,4,0,12,0,1,24,2,0,4,0,0,0,0,NO
3,0,12,1,12,1,11,69,1,75,15,0,0,0,0,NO
3,0,4,0,12,1,1,59,2,0,7,10,1,1,12,YES
1,0,3,0,11,0,1,29,2,0,3,1,0,1,2,YES
3,0,3,0,11,0,1,48,2,0,7,1,14,1,16,YES
7,0,22,3,22,0,22,137,1,69,26,7,9,4,20,YES
6,0,8,4,8,6,2,146,1,68,21,7,5,3,15,YES
2,0,1,0,9,1,8,81,1,44,17,2,13,2,17,YES
26,0,21,8,23,19,2,394,2,83,66,37,13,4,54,YES
0,0,6,3,6,0,6,31,1,50,6,0,0,0,0,NO
3,13,8,2,8,0,3,60,1,66,12,39,0,3,42,YES
7,0,3,0,11,0,1,71,2,0,3,0,0,0,0,NO
1,0,2,0,5,0,1,14,2,0,2,0,0,0,0,NO
1,0,3,1,6,0,2,24,2,33,4,0,0,0,0,NO
1,0,5,2,13,0,2,31,2,60,6,0,0,0,0,NO
1,0,4,0,12,0,1,29,2,0,5,79,5,1,85,YES
1,0,9,4,9,0,9,58,1,66,10,0,0,0,0,NO
1,0,5,2,15,1,2,34,3,60,6,0,0,0,0,NO
33,0,364,12,366,6,356,2255,2,99,522,12,1,9,22,YES
6,0,7,0,29,1,5,144,5,0,28,6,0,0,6,YES
0,0,0,0,13,0,0,3,2,0,0,0,0,0,0,NO
0,3,13,5,13,0,13,66,1,64,14,0,0,0,0,NO
1,0,3,0,16,0,3,23,2,0,3,0,0,0,0,NO
3,0,8,1,8,0,8,42,1,75,9,0,0,0,0,NO
1,0,0,0,6,0,6,73,1,0,12,0,0,0,0,NO
3,11,5,1,5,0,3,34,1,40,6,0,0,0,0,NO
0,0,1,0,6,0,0,10,2,0,1,0,0,0,0,NO
1,0,1,0,6,0,0,15,2,0,1,0,0,0,0,NO
1,0,1,0,6,0,0,11,2,0,1,0,0,0,0,NO
1,0,1,0,6,0,0,14,2,0,1,0,0,0,0,NO
3,0,1,0,6,0,0,23,2,0,2,0,0,0,0,NO
1,0,1,0,6,0,0,15,2,0,2,0,0,0,0,NO
4,0,2,0,7,1,0,37,2,0,5,0,0,0,0,NO
1,0,1,0,6,0,0,23,2,0,2,0,0,0,0,NO
1,0,1,1,6,0,0,27,2,0,2,0,0,0,0,NO
1,0,1,0,6,0,0,14,2,0,2,0,0,0,0,NO
1,0,1,0,6,0,0,16,2,0,2,0,0,0,0,NO
40,0,16,4,20,16,2,362,2,72,50,11,19,4,34,YES
0,0,4,0,5,3,2,242,1,0,37,2,11,0,13,YES
10,0,10,2,11,10,1,261,1,81,38,22,0,6,28,YES
11,0,11,0,11,7,4,215,1,0,38,0,0,0,0,NO
3,0,3,1,3,0,3,118,1,0,14,0,0,0,0,NO
1,0,2,1,12,0,2,12,3,0,2,0,0,0,0,NO
3,0,4,4,4,0,4,26,1,50,4,0,0,0,0,NO
1,6,2,0,2,0,2,17,1,0,2,0,0,0,0,NO
7,0,1,0,3,1,2,36,1,0,5,0,0,0,0,NO
