CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ADDED,DELETED,MODIFIED,TOTAL CHANGE,ALTER
1,0,20,12,20,1,19,191,1,86,40,0,0,0,0,NO
1,0,7,0,7,0,7,197,1,0,27,0,0,0,0,NO
0,0,1,0,1,0,1,6,2,0,1,0,0,0,0,NO
0,0,1,2,1,0,1,8,1,0,1,0,0,0,0,NO
3,0,5,7,5,0,5,95,1,65,18,0,0,0,0,NO
18,0,12,0,12,0,11,363,1,91,19,0,0,0,0,NO
6,3,35,10,35,0,33,254,1,88,59,0,0,0,0,NO
3,0,4,1,4,0,4,31,2,25,8,0,0,0,0,NO
5,0,0,0,3,0,3,38,1,0,8,0,0,0,0,NO
7,2,14,4,14,0,14,139,2,85,29,0,0,0,0,NO
0,0,1,0,1,0,1,6,2,0,1,0,0,0,0,NO
0,0,1,0,1,0,1,7,2,0,1,0,0,0,0,NO
8,0,12,7,19,0,12,93,3,83,16,0,0,0,0,NO
0,0,2,0,37,0,2,9,2,0,2,0,0,0,0,NO
0,0,1,0,1,0,1,6,2,0,1,0,0,0,0,NO
9,0,13,0,51,1,12,279,3,0,24,0,0,0,0,NO
9,0,2,0,22,1,7,94,3,77,21,0,0,0,0,NO
9,0,7,4,42,0,7,129,2,75,26,0,0,0,0,NO
0,0,1,0,1,0,1,6,2,0,1,0,0,0,0,NO
5,1,4,5,5,0,2,114,2,77,12,0,0,0,0,NO
0,0,13,4,13,0,13,53,1,61,16,0,0,0,0,NO
2,2,14,4,14,0,8,105,1,71,33,0,0,0,0,NO
1,0,2,1,2,0,2,9,1,0,2,0,0,0,0,NO
11,0,11,4,11,4,7,217,2,84,18,0,0,0,0,NO
8,0,3,10,16,0,3,162,3,51,4,0,0,0,0,NO
1,0,0,0,0,0,0,43,1,0,0,0,0,0,0,NO
1,0,2,1,2,0,2,9,1,0,2,0,0,0,0,NO
8,0,24,5,38,3,21,218,2,77,45,0,0,0,0,NO
2,0,1,2,1,0,1,33,2,50,4,0,0,0,0,NO
1,0,2,1,2,0,2,9,1,0,2,0,0,0,0,NO
7,0,28,3,42,0,28,215,2,87,51,0,0,0,0,NO
9,0,15,4,19,3,16,238,1,82,55,0,0,0,0,NO
7,0,19,5,19,1,18,122,2,64,30,0,0,0,0,NO
8,0,14,3,14,4,10,259,2,69,45,0,0,0,0,NO
5,0,4,6,17,1,3,90,3,58,9,0,0,0,0,NO
10,0,6,11,19,2,4,197,3,63,13,0,0,0,0,NO
9,0,7,10,20,2,5,176,3,75,10,0,0,0,0,NO
