CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
10,0,53,66,432,1,92,no
3,0,18,31,83,0,5,no
3,0,4,17,26,0,50,no
1,2,4,48,22,0,75,no
2,0,12,25,142,0,0,no
3,0,4,17,32,0,0,no
0,0,2,46,14,0,0,no
4,0,4,17,48,0,25,no
36,0,5,18,139,0,64,yes
11,0,6,19,102,0,50,no
7,0,4,17,51,0,44,yes
14,0,9,22,136,0,44,no
5,0,6,19,71,0,63,yes
9,0,6,19,133,0,50,yes
5,0,6,19,73,0,59,yes
11,0,8,21,139,0,62,no
8,0,6,19,80,0,64,yes
1,0,1,16,11,2,0,no
1,0,1,16,8,2,0,no
2,0,2,17,11,2,0,no
2,3,2,15,12,1,0,no
13,0,58,71,336,1,96,yes
5,0,28,41,136,0,92,no
22,0,43,56,287,1,94,yes
10,0,4,17,206,0,0,yes
10,0,2,15,78,1,0,no
4,0,5,18,36,0,40,no
2,0,1,14,12,0,0,no
4,0,3,16,32,0,33,yes
8,0,1,14,33,1,0,no
5,0,2,15,15,0,0,no
78,0,18,31,664,0,90,yes
9,0,5,18,148,0,66,yes
3,0,2,15,24,0,0,no
38,0,8,21,163,0,67,yes
1,0,2,15,39,0,12,no
10,0,15,28,96,0,83,yes
6,0,5,18,50,0,40,yes
2,0,8,21,63,0,37,no
3,0,2,46,18,0,0,no
3,0,3,47,16,0,0,no
1,0,1,14,8,1,0,no
7,0,19,32,91,0,0,no
5,0,4,17,38,0,50,yes
9,0,22,35,145,0,77,yes
1,0,4,52,22,1,0,no
1,0,3,51,18,1,0,no
6,0,4,48,47,0,50,no
2,0,2,15,15,0,0,no
2,1,5,49,39,0,0,no
2,0,6,67,38,1,0,no
1,0,2,46,25,0,0,no
5,0,6,67,54,1,16,no
1,0,1,62,8,1,0,no
9,0,14,58,72,0,14,no
5,3,17,61,128,0,38,no
14,0,16,42,164,2,56,no
2,0,3,65,22,1,0,no
12,0,6,55,136,1,66,no
5,0,4,17,107,1,0,no
16,0,8,21,334,0,72,no
27,0,25,51,279,2,90,yes
1,0,1,14,10,0,0,no
0,0,2,46,15,0,0,no
5,0,12,25,83,0,83,no
16,0,7,20,186,0,82,yes
1,0,9,22,45,0,59,no
2,0,2,46,31,0,0,no
5,0,13,26,83,0,84,no
19,0,9,22,278,0,86,yes
3,0,0,13,9,0,0,yes
1,0,6,19,29,0,58,no
1,0,3,47,20,0,33,no
2,0,7,51,63,0,42,no
0,3,2,15,9,0,0,no
3,0,3,18,60,1,33,no
7,0,5,20,56,1,80,no
1,0,7,20,112,0,0,no
1,0,2,46,13,0,100,no
3,0,3,18,68,1,33,no
7,0,1,14,43,1,0,yes
12,0,15,28,139,0,80,yes
6,0,6,19,109,1,0,no
1,0,4,17,90,0,0,no
27,5,11,24,113,1,68,no
27,0,12,25,116,1,70,no
12,0,50,63,250,0,49,no
10,0,23,94,115,1,56,no
16,0,13,26,262,0,76,yes
9,0,3,16,51,0,33,yes
11,0,7,20,79,0,67,yes
12,0,3,16,38,1,0,no
0,0,0,34,4,1,0,no
4,0,3,61,19,2,33,no
57,2,21,34,539,0,93,yes
2,0,0,13,5,0,0,no
4,0,3,16,22,1,33,no
3,0,3,74,54,1,33,no
1,0,7,20,31,0,0,no
4,0,4,75,59,1,0,no
1,0,7,20,31,0,0,no
7,0,12,32,73,2,66,no
5,0,1,25,35,2,0,no
9,0,2,15,42,0,0,yes
1,0,8,21,42,0,75,no
6,0,10,23,61,0,78,yes
34,0,14,27,213,0,83,yes
18,0,10,34,130,2,80,yes
8,0,6,19,65,1,66,no
18,0,3,17,94,1,26,yes
57,1,16,29,666,0,90,yes
6,0,1,14,17,0,16,yes
6,0,1,14,15,0,0,no
5,0,11,24,61,0,81,no
30,0,4,17,170,0,75,yes
11,0,35,48,250,0,92,yes
7,0,7,20,50,0,62,yes
13,0,2,15,235,0,50,yes
6,0,4,17,83,0,50,yes
10,0,6,19,86,0,50,no
4,0,4,17,35,0,37,yes
2,0,2,46,14,0,0,no
3,0,4,53,25,0,58,no
2,0,6,50,38,0,50,no
9,0,7,20,55,0,0,yes
8,0,7,20,55,0,0,yes
4,0,2,15,37,0,0,yes
7,0,3,16,25,0,0,yes
3,0,5,18,46,0,60,yes
13,0,4,17,95,0,0,yes
11,0,5,18,55,1,19,no
6,0,9,22,64,0,55,yes
7,0,4,17,42,0,50,yes
3,0,11,24,60,1,54,no
5,0,6,19,107,0,66,yes
6,0,14,27,104,1,42,yes
2,0,3,16,24,0,0,no
4,14,4,28,21,2,0,no
15,0,18,31,514,0,0,yes
3,0,1,29,16,3,0,no
2,0,1,29,18,3,0,no
10,0,1,29,65,3,0,yes
3,0,1,29,15,3,0,no
8,0,1,29,29,3,0,no
8,0,1,29,27,3,0,no
9,0,1,29,28,3,0,no
8,0,1,29,31,3,0,no
9,0,1,29,29,3,0,no
4,0,2,30,41,3,0,no
8,0,1,29,29,3,0,no
4,0,1,29,17,3,0,no
4,0,1,29,16,3,0,no
5,0,2,30,46,3,0,no
20,2,14,27,260,1,83,yes
4,0,2,15,25,1,16,no
1,0,6,50,33,0,50,no
4,0,2,15,26,0,0,no
3,0,4,31,19,2,0,no
12,0,5,32,322,2,100,yes
20,0,6,19,274,0,50,yes
3,0,5,59,28,1,60,no
3,1,4,58,27,1,50,no
3,0,14,27,118,0,85,no
3,0,14,27,118,0,85,no
31,0,177,190,1350,0,98,yes
8,0,10,34,121,2,0,no
1,0,2,51,12,1,0,no
8,0,7,20,229,0,0,yes
10,0,17,30,390,1,0,no
5,0,6,19,175,0,83,yes
4,0,3,16,22,1,0,no
29,0,134,147,1442,1,98,yes
14,0,4,30,46,2,0,no
9,2,10,54,84,0,66,yes
12,0,6,30,92,2,83,no
18,0,8,21,153,0,56,yes
0,0,1,14,10,0,0,no
11,0,12,25,180,0,75,yes
10,0,20,33,238,1,0,yes
10,0,6,19,64,0,0,yes
4,0,2,15,54,0,0,yes
2,0,3,16,40,0,33,no
5,0,2,15,57,0,0,yes
3,0,4,17,44,0,31,no
1,0,0,31,6,1,0,no
1,0,0,49,6,1,0,no
7,0,1,35,15,1,0,no
15,0,2,31,35,1,0,no
5,0,1,14,31,0,0,no
5,0,2,15,15,0,0,no
6,0,7,20,43,0,50,yes
2,0,3,49,18,1,33,no
1,0,2,48,12,1,0,no
15,0,5,31,50,2,19,no
7,0,1,14,23,0,0,no
4,0,2,15,16,0,0,no
15,0,11,24,141,0,85,yes
1,0,2,46,11,0,0,no
1,0,2,46,12,0,0,no
6,0,21,37,211,0,88,no
1,0,2,46,12,0,0,no
6,0,5,18,121,0,70,no
6,0,1,14,12,1,0,no
12,0,17,67,127,1,50,yes
6,3,5,18,44,1,60,no
8,0,4,17,85,0,0,yes
1,0,3,16,40,0,0,no
25,0,18,31,308,0,88,yes
2,0,1,19,30,2,0,no
2,0,4,17,71,0,25,no
2,0,3,16,40,0,33,no
14,0,8,21,136,0,55,yes
11,0,12,25,207,0,86,yes
15,0,17,30,459,0,89,yes
5,0,3,16,70,0,33,yes
2,0,1,14,19,0,0,no
1,0,2,15,15,0,33,no
4,0,4,22,57,2,0,no
7,0,13,36,101,2,76,yes
5,0,4,17,37,0,37,yes
12,0,2,15,33,1,0,yes
9,3,10,23,89,1,82,yes
10,0,3,16,56,0,0,no
1,0,2,15,15,1,0,no
4,1,10,33,56,2,93,yes
4,0,9,22,72,1,58,yes
11,0,6,39,92,3,66,yes
6,0,4,17,54,0,37,yes
4,0,13,31,138,2,0,no
2,0,3,16,16,0,0,no
3,0,20,33,85,1,90,no
14,0,13,26,127,1,79,yes
6,0,11,34,81,2,45,yes
6,0,6,19,54,0,66,yes
1,0,3,16,16,0,0,no
2,0,2,15,13,1,0,no
26,0,16,29,319,1,89,yes
10,0,9,47,144,2,11,no
28,1,19,32,610,0,85,yes
24,0,17,30,277,1,70,yes
4,0,4,17,19,0,0,no
3,0,1,14,10,1,0,yes
43,1,36,49,656,0,93,yes
5,0,6,19,31,0,50,no
8,0,5,18,48,1,19,no
3,0,7,20,58,0,66,no
4,1,5,18,30,0,40,no
3,1,5,49,32,0,60,no
5,0,15,28,73,0,66,no
4,1,7,20,42,0,71,no
1,0,1,16,8,2,0,no
9,0,8,21,88,0,70,no
8,4,10,23,70,1,78,yes
1,0,1,45,9,0,100,no
0,0,0,14,4,1,0,no
3,0,2,15,23,0,0,no
1,0,1,14,8,0,0,no
3,0,5,28,35,2,0,yes
1,1,1,14,8,0,0,no
3,0,5,28,35,2,0,yes
5,0,1,14,17,0,0,no
3,0,5,28,35,2,0,yes
5,0,1,14,17,0,0,no
3,0,5,28,35,2,0,yes
25,0,51,64,747,1,90,yes
6,0,5,18,34,0,70,yes
20,0,9,22,114,0,77,yes
37,1,12,25,558,0,91,yes
14,3,4,17,74,1,87,no
10,0,5,18,44,0,0,yes
8,0,4,21,36,2,0,no
10,0,5,22,51,2,0,no
15,0,7,24,105,2,85,yes
9,0,7,20,57,1,57,yes
9,0,10,23,130,0,56,yes
1,0,1,16,8,2,0,no
1,0,1,16,8,2,0,no
1,0,1,16,8,2,0,no
2,1,4,17,30,1,50,no
1,4,2,15,13,1,0,no
7,0,5,18,43,0,80,no
7,0,5,18,43,0,80,no
19,0,7,20,115,1,35,no
2,1,2,52,7,1,100,no
1,0,2,50,13,0,0,no
2,0,15,28,74,0,87,no
5,0,43,56,222,0,91,no
10,0,10,23,84,0,44,yes
9,0,1,14,92,0,0,no
9,0,2,15,52,0,0,yes
10,0,4,17,59,1,50,no
4,0,1,14,28,0,0,no
4,0,2,15,26,1,0,no
