CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
14,0,8,21,84,59,0,no
7,0,2,15,10,0,0,yes
16,0,4,17,30,75,0,no
1,0,1,50,6,100,0,no
17,0,8,29,62,66,1,no
9,0,3,22,26,33,1,no
0,0,0,13,29,0,0,no
69,0,81,94,540,95,0,yes
49,0,180,193,1215,99,0,yes
14,0,3,21,50,42,1,yes
25,0,8,34,154,80,1,no
12,0,3,72,34,0,2,no
17,2,13,26,292,96,0,no
15,0,16,29,210,70,0,no
10,0,3,16,98,0,0,no
14,0,14,27,106,85,0,no
49,0,66,148,359,89,1,yes
7,0,3,72,47,0,2,no
49,0,195,208,944,95,0,yes
16,0,24,37,127,76,0,yes
12,0,1,70,15,0,2,no
53,2,69,82,937,97,0,yes
11,0,2,25,32,0,4,yes
10,0,2,24,32,0,3,no
12,0,2,27,11,0,3,yes
9,0,2,27,13,0,2,no
12,0,2,27,12,0,2,no
15,0,2,28,12,0,4,no
10,0,2,24,32,0,4,no
9,0,2,22,32,0,2,no
8,0,2,21,10,0,2,no
9,0,2,23,32,0,2,no
19,0,4,21,88,0,1,yes
44,0,14,128,65,0,1,yes
19,0,2,34,21,0,1,yes
9,0,2,23,33,0,3,yes
14,0,2,25,12,0,4,no
7,0,4,27,15,0,1,yes
14,0,8,34,65,65,1,yes
14,1,18,54,237,61,0,no
1,0,1,14,8,0,0,no
10,0,3,57,78,66,1,yes
5,0,2,15,14,0,0,yes
3,0,3,33,21,0,0,yes
29,0,3,16,63,0,0,yes
9,0,4,17,89,0,0,no
26,0,3,16,66,33,0,no
23,0,16,29,174,81,0,no
1,0,4,53,14,100,0,no
10,0,12,25,66,87,0,no
5,0,2,15,20,0,0,yes
9,0,2,15,30,0,0,yes
3,0,1,14,5,0,0,no
35,0,13,26,284,81,1,yes
7,0,2,15,51,0,0,no
4,0,9,22,43,22,0,no
24,0,8,21,177,79,1,yes
3,0,2,15,10,0,0,yes
2,0,1,14,6,0,0,no
4,0,3,16,21,16,0,no
12,0,8,21,73,0,0,yes
3,0,1,14,5,0,0,no
6,0,5,24,71,53,1,no
2,1,6,19,25,16,0,no
10,0,7,20,121,68,0,yes
4,0,5,18,50,0,0,no
1,0,4,53,14,100,0,no
9,0,7,20,202,0,0,no
3,0,3,16,20,66,0,no
2,0,3,16,28,53,0,no
35,0,13,26,227,89,0,yes
6,1,4,23,20,50,3,yes
5,0,2,25,13,0,3,yes
4,2,2,35,9,0,3,no
3,0,4,17,19,50,0,yes
4,1,5,22,24,60,2,no
2,2,2,19,10,0,2,no
5,0,2,24,13,0,2,yes
1,5,1,23,5,0,2,yes
8,0,3,25,16,0,2,yes
8,0,3,25,16,0,2,yes
5,0,2,24,13,0,2,yes
5,0,2,24,13,0,2,yes
13,0,2,37,16,0,4,no
6,4,5,18,21,0,0,no
6,0,3,25,18,33,2,yes
2,3,3,25,11,0,2,no
5,0,5,28,22,40,3,yes
5,0,2,20,9,0,2,yes
35,4,58,76,229,0,1,no
7,0,4,17,69,0,0,yes
3,3,4,52,17,50,3,yes
1,0,1,53,5,0,4,yes
1,0,1,53,5,0,4,no
1,0,1,53,5,0,4,yes
5,0,2,24,13,0,2,yes
13,0,7,30,49,71,3,yes
13,0,4,37,26,0,3,yes
12,0,12,25,114,82,0,yes
5,0,4,17,19,50,0,no
4,0,14,27,63,57,0,no
6,0,10,33,47,66,3,yes
5,6,4,29,15,0,3,yes
7,15,5,22,35,40,1,yes
3,2,2,18,10,0,1,yes
11,1,8,25,42,75,2,yes
5,1,11,25,57,81,1,no
10,1,11,25,57,81,1,no
8,0,2,35,9,0,3,no
8,0,2,35,9,0,3,no
9,7,3,38,14,0,4,no
9,1,8,26,41,75,3,no
6,0,3,19,14,33,1,yes
8,0,2,40,10,0,5,yes
5,0,2,25,13,0,3,yes
1,2,1,18,5,0,2,no
3,1,3,22,15,33,3,no
4,1,6,20,27,66,1,no
3,1,5,19,23,60,1,no
4,1,7,21,32,71,1,no
1,0,3,32,13,0,4,no
5,0,3,26,18,33,3,yes
2,1,4,17,17,25,0,no
4,0,4,27,18,25,3,yes
8,0,2,40,9,0,5,no
12,0,4,37,24,0,3,yes
37,9,11,33,297,72,2,yes
19,0,8,21,86,75,0,yes
8,0,7,20,41,71,0,no
1,0,3,32,13,0,4,no
1,0,3,32,13,0,4,no
7,0,9,22,82,77,0,yes
1,0,2,15,8,0,0,yes
9,0,3,25,25,33,2,yes
5,0,3,28,18,33,3,yes
5,0,3,26,18,33,3,yes
5,0,7,23,42,71,1,yes
8,0,2,40,9,0,5,no
1,0,3,32,13,0,4,no
1,0,3,32,13,0,4,no
6,0,4,29,24,50,3,yes
3,0,3,16,15,0,0,yes
7,0,8,26,37,79,2,yes
8,0,2,40,9,0,5,no
8,0,2,40,9,0,5,no
5,0,2,25,13,0,3,yes
5,0,2,25,13,0,3,yes
2,6,1,14,6,0,0,no
3,1,7,20,33,42,0,yes
3,4,5,23,19,19,2,yes
8,0,5,23,25,40,2,yes
1,0,3,32,13,0,4,no
5,0,2,25,13,0,3,yes
8,0,2,40,9,0,5,no
3,0,5,18,23,40,0,yes
5,0,2,24,13,0,2,yes
0,0,5,18,33,60,0,no
2,0,4,17,15,0,0,no
1,0,4,53,13,0,0,no
4,2,4,17,10,0,0,yes
114,1,101,114,464,98,0,no
