CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
6,1,6,2,28,0,4,34,2,58,7,NO
1,0,2,1,4,0,2,14,2,0,4,NO
18,1,11,4,19,0,8,140,2,93,31,NO
0,0,0,0,17,0,0,2,2,0,0,NO
4,0,0,0,8,1,7,83,1,0,22,NO
1,0,0,0,1,0,1,29,1,0,7,NO
1,0,0,0,7,0,7,117,1,0,52,NO
4,0,8,1,18,2,8,105,2,60,31,NO
11,1,11,1,19,2,9,440,2,63,67,YES
5,0,7,1,15,0,7,108,2,28,25,NO
1,2,5,0,5,0,5,18,1,0,5,NO
2,0,10,3,18,0,10,177,2,33,28,NO
0,0,2,1,2,0,2,9,1,0,2,NO
8,3,22,6,22,0,22,127,1,85,36,NO
1,0,2,0,2,0,2,9,2,0,2,NO
0,3,4,0,4,0,4,15,2,0,4,NO
13,0,11,1,12,0,12,51,1,83,14,NO
8,0,8,3,9,1,8,247,1,51,29,NO
1,16,8,0,8,0,8,22,1,0,2,NO
1,0,3,0,3,0,3,8,1,0,3,NO
0,2,4,0,4,0,4,7,1,0,0,NO
9,1,6,0,8,0,8,158,1,0,19,NO
0,4,2,0,2,0,2,5,1,0,1,NO
9,1,7,0,15,0,6,38,2,0,9,NO
5,4,10,0,18,1,7,258,1,0,29,NO
4,1,1,0,23,5,15,573,1,0,159,NO
5,0,23,3,45,0,23,78,2,63,23,NO
22,1,6,3,8,2,5,165,1,41,34,NO
1,0,4,2,6,0,4,29,2,37,8,NO
1,0,4,1,6,0,4,94,2,0,6,YES
2,0,4,2,6,0,4,26,2,50,7,NO
1,0,5,1,7,0,5,26,2,19,6,NO
11,0,13,6,21,1,12,89,3,66,16,NO
4,0,10,3,18,0,10,58,3,46,13,NO
2,5,2,0,48,0,2,9,3,0,2,NO
2,0,2,0,50,0,2,16,4,0,3,NO
2,0,3,0,49,0,3,15,3,0,3,NO
2,0,2,0,48,0,2,9,3,0,2,NO
2,0,3,0,49,0,3,16,3,0,5,NO
2,0,3,0,49,0,3,23,3,0,6,NO
2,0,3,0,49,0,3,13,3,0,3,NO
2,0,5,0,51,0,5,21,3,0,5,NO
3,0,2,0,50,0,2,11,4,0,2,NO
4,0,3,0,49,0,3,16,3,0,4,NO
2,0,5,0,51,0,5,21,3,0,5,NO
2,0,3,0,49,0,3,25,3,0,8,NO
2,0,2,0,50,0,2,11,4,0,2,NO
2,0,2,0,50,0,2,9,4,0,2,NO
2,0,4,1,50,0,4,24,3,75,6,NO
12,0,9,2,55,0,9,152,3,44,36,NO
2,0,2,0,50,0,2,17,4,0,5,NO
2,0,2,0,50,0,2,17,4,0,5,NO
14,0,10,0,56,1,9,154,3,0,38,YES
2,0,4,1,50,0,3,24,3,75,6,NO
8,0,5,1,51,2,3,95,3,60,18,NO
0,0,2,0,48,0,2,17,3,0,4,NO
2,0,2,0,50,0,2,17,4,0,5,NO
2,0,2,0,50,0,2,17,4,0,5,NO
2,0,3,0,49,0,3,17,3,0,5,NO
2,0,4,0,50,0,4,32,3,0,8,NO
3,0,3,0,49,0,3,20,3,0,5,NO
0,0,1,0,47,0,1,5,3,0,1,NO
1,0,3,0,49,0,3,24,3,0,6,NO
3,0,2,0,50,0,2,11,4,0,2,NO
3,0,2,0,50,0,2,11,4,0,2,NO
3,0,2,0,50,0,2,11,4,0,2,NO
2,0,3,0,49,0,3,48,3,0,14,NO
2,0,3,0,49,0,3,15,3,0,3,NO
2,0,2,0,50,0,2,11,4,0,2,NO
2,0,3,0,49,0,3,13,3,0,3,NO
2,0,2,0,50,0,2,16,4,0,3,NO
